Dataset,Size=10,Size=100,Size=1000,Size=10000
wikipedia,0.454033 ± 0.005774,0.681674 ± 0.004525,0.784087 ± 0.005318,0.805739 ± 0.004777
wikitext,0.223120 ± 0.003510,0.383018 ± 0.002450,0.578821 ± 0.004183,0.652655 ± 0.004236
pile,0.339185 ± 0.002264,0.456700 ± 0.005147,0.583475 ± 0.004860,0.614029 ± 0.005799
