Model,Dataset_mcf,Dataset_zsre
gpt2-xl,1.0000 ± 0.0000,1.0000 ± 0.0000
gpt-j,1.0000 ± 0.0000,1.0000 ± 0.0000
Llama3,1.0000 ± 0.0000,1.0000 ± 0.0000
