Model,Algorithm,Dataset,Num_Edits,N_runs,Top-1 (%)
Llama3,MEMIT,mcf,10,5,52.9±6.9
Llama3,MEMIT,mcf,50,5,49.2±3.1
Llama3,MEMIT,mcf,100,5,51.2±5.1
Llama3,MEMIT,zsre,10,5,40.0±10.0
Llama3,MEMIT,zsre,50,5,40.0±4.4
Llama3,MEMIT,zsre,100,5,33.1±4.4
gpt-j,MEMIT,mcf,10,5,57.3±7.2
gpt-j,MEMIT,mcf,50,5,50.9±5.6
gpt-j,MEMIT,mcf,100,5,50.3±5.4
gpt-j,MEMIT,zsre,10,5,28.0±4.5
gpt-j,MEMIT,zsre,50,5,33.4±3.4
gpt-j,MEMIT,zsre,100,5,31.8±7.1
gpt2-xl,MEMIT,mcf,10,5,18.4±14.9
gpt2-xl,MEMIT,mcf,50,5,25.3±7.5
gpt2-xl,MEMIT,mcf,100,5,25.1±4.6
gpt2-xl,MEMIT,zsre,10,5,2.0±4.5
gpt2-xl,MEMIT,zsre,50,5,3.8±2.7
gpt2-xl,MEMIT,zsre,100,5,2.8±2.5
